regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Czech Republic,F,22.15,22.28,22.41,22.56,22.72,22.88,23.06,23.24,23.43,23.63,23.84,24.05,24.26,24.49,24.72,24.95,25.19,25.44
Czech Republic,M,19.03,19.4,19.78,20.16,20.56,20.97,21.38,21.8,22.23,22.66,23.11,23.55,24.01,24.47,24.94,25.41,25.89,26.39
Germany,F,15.52,15.79,16.07,16.35,16.62,16.9,17.18,17.46,17.74,18.03,18.31,18.6,18.89,19.19,19.49,19.79,20.1,20.41
Germany,M,16.09,16.52,16.96,17.39,17.84,18.29,18.74,19.19,19.65,20.12,20.59,21.07,21.56,22.06,22.56,23.08,23.61,24.15
Djibouti,F,13.06,13.32,13.58,13.86,14.13,14.42,14.71,15.01,15.31,15.62,15.93,16.25,16.58,16.91,17.25,17.6,17.96,18.32
Djibouti,M,5.02,5.19,5.36,5.53,5.71,5.9,6.09,6.28,6.48,6.69,6.9,7.11,7.34,7.57,7.81,8.07,8.33,8.61
Dominica,F,26.23,26.75,27.27,27.79,28.32,28.85,29.39,29.93,30.49,31.04,31.6,32.17,32.73,33.3,33.87,34.43,35,35.57
Dominica,M,11.27,11.67,12.09,12.51,12.95,13.4,13.86,14.34,14.83,15.34,15.87,16.41,16.96,17.53,18.11,18.71,19.32,19.95
Denmark,F,12.98,13.2,13.43,13.65,13.88,14.11,14.35,14.58,14.81,15.04,15.27,15.51,15.74,15.98,16.22,16.46,16.71,16.96
Denmark,M,14.38,14.78,15.2,15.63,16.06,16.5,16.94,17.4,17.85,18.32,18.79,19.27,19.76,20.25,20.75,21.27,21.79,22.33
Dominican Republic,F,21.57,22.21,22.89,23.58,24.3,25.03,25.77,26.53,27.29,28.07,28.85,29.63,30.41,31.17,31.92,32.66,33.39,34.1
Dominican Republic,M,9.41,9.89,10.39,10.93,11.5,12.09,12.71,13.36,14.04,14.74,15.47,16.23,16.99,17.77,18.56,19.36,20.18,20.99
Algeria,F,23.62,24.25,24.89,25.53,26.18,26.84,27.49,28.15,28.82,29.49,30.17,30.85,31.53,32.21,32.88,33.56,34.23,34.9
Algeria,M,9.87,10.33,10.8,11.29,11.79,12.32,12.86,13.42,13.99,14.59,15.2,15.83,16.47,17.13,17.8,18.49,19.19,19.91
Ecuador,F,17.08,17.52,17.96,18.4,18.84,19.28,19.72,20.16,20.59,21.03,21.47,21.91,22.36,22.82,23.27,23.74,24.21,24.69
Ecuador,M,8.43,8.77,9.11,9.45,9.8,10.15,10.51,10.87,11.23,11.6,11.97,12.36,12.75,13.15,13.57,13.99,14.43,14.89
Egypt,F,29.99,30.58,31.17,31.79,32.41,33.04,33.67,34.31,34.96,35.62,36.29,36.97,37.64,38.33,39.02,39.71,40.4,41.11
Egypt,M,13.02,13.46,13.92,14.39,14.88,15.38,15.9,16.44,16.99,17.55,18.14,18.74,19.35,19.99,20.64,21.3,21.99,22.7
Eritrea,F,3.26,3.43,3.6,3.79,3.98,4.19,4.4,4.63,4.86,5.11,5.37,5.64,5.93,6.23,6.54,6.87,7.21,7.56
Eritrea,M,0.79,0.83,0.88,0.93,0.98,1.04,1.1,1.16,1.22,1.29,1.37,1.44,1.53,1.62,1.71,1.81,1.92,2.04
Spain,F,18.85,19.09,19.34,19.59,19.83,20.07,20.31,20.54,20.77,20.99,21.22,21.44,21.65,21.87,22.09,22.31,22.53,22.75
Spain,M,16.87,17.29,17.72,18.15,18.59,19.03,19.47,19.92,20.37,20.82,21.28,21.73,22.19,22.66,23.13,23.6,24.08,24.57
Estonia,F,19.57,19.64,19.73,19.82,19.93,20.04,20.15,20.27,20.4,20.53,20.67,20.81,20.95,21.1,21.26,21.42,21.59,21.76
Estonia,M,14,14.31,14.64,14.97,15.31,15.66,16.02,16.39,16.76,17.13,17.51,17.89,18.27,18.67,19.06,19.47,19.89,20.31
Ethiopia,F,2.91,3.07,3.23,3.4,3.58,3.76,3.96,4.17,4.38,4.61,4.85,5.11,5.37,5.65,5.95,6.26,6.58,6.92
Ethiopia,M,0.72,0.77,0.81,0.86,0.9,0.95,1.01,1.06,1.12,1.19,1.25,1.33,1.4,1.49,1.58,1.68,1.78,1.89
Finland,F,15.81,16.12,16.43,16.72,17.01,17.3,17.58,17.85,18.13,18.4,18.66,18.93,19.2,19.47,19.74,20.02,20.3,20.58
