Year,Overall rank,Country or region,Happiness Score,GDP per capita
2015,7,Netherlands,7.378,1.32944
2015,8,Sweden,7.364,1.33171
2015,9,New Zealand,7.286,1.25018
2015,10,Australia,7.284,1.33358
2015,11,Israel,7.278,1.22857
2015,12,Costa Rica,7.226,0.95578
2015,13,Austria,7.2,1.33723
2015,14,Mexico,7.187,1.02054
2015,15,United States,7.119,1.39451
2015,16,Brazil,6.983,0.98124
2015,17,Luxembourg,6.946,1.56391
2015,18,Ireland,6.94,1.33596
2015,19,Belgium,6.937,1.30782
2015,20,United Arab Emirates,6.901,1.42727
2015,21,United Kingdom,6.867,1.26637
2015,22,Oman,6.853,1.36011
2015,23,Venezuela,6.81,1.04424
2015,24,Singapore,6.798,1.52186
2015,25,Panama,6.786,1.06353
2015,26,Germany,6.75,1.32792
2015,27,Chile,6.67,1.10715
2015,28,Qatar,6.611,1.69042
2015,29,France,6.575,1.27778
2015,30,Argentina,6.574,1.05351
2015,31,Czech Republic,6.505,1.17898
2015,32,Uruguay,6.485,1.06166
2015,33,Colombia,6.477,0.91861
2015,34,Thailand,6.455,0.9669
2015,35,Saudi Arabia,6.411,1.39541
2015,36,Spain,6.329,1.23011
2015,37,Malta,6.302,1.2074
2015,38,Taiwan,6.298,1.29098
2015,39,Kuwait,6.295,1.55422
2015,40,Suriname,6.269,0.99534
2015,41,Trinidad and Tobago,6.168,1.21183
2015,42,El Salvador,6.13,0.76454
2015,43,Guatemala,6.123,0.74553
2015,44,Uzbekistan,6.003,0.63244
2015,45,Slovakia,5.995,1.16891
2015,46,Japan,5.987,1.27074
2015,47,South Korea,5.984,1.24461
2015,48,Ecuador,5.975,0.86402
2015,49,Bahrain,5.96,1.32376
2015,50,Italy,5.948,1.25114
2015,51,Bolivia,5.89,0.68133
2015,52,Moldova,5.889,0.59448
2015,53,Paraguay,5.878,0.75985
2015,54,Kazakhstan,5.855,1.12254
2015,55,Slovenia,5.848,1.18498
2015,56,Lithuania,5.833,1.14723
2015,57,Nicaragua,5.828,0.59325
2015,58,Peru,5.824,0.90019
2015,59,Belarus,5.813,1.03192
2015,60,Poland,5.791,1.12555
2015,61,Malaysia,5.77,1.12486
